table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
dvdrental,information_schema,table_constraints,is_deferrable,8,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,8,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_constraints,initially_deferred,9,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,9,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_constraints,enforced,10,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,10,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,grantor,1,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,1,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,grantee,2,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,table_catalog,3,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,3,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,table_schema,4,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,4,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,table_name,5,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,5,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,privilege_type,6,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,6,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,is_grantable,7,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,7,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,table_privileges,with_hierarchy,8,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,8,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,grantor,1,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,1,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,grantee,2,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,table_catalog,3,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,3,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,table_schema,4,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,4,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,table_name,5,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,5,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,privilege_type,6,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,6,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,is_grantable,7,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,7,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,role_table_grants,with_hierarchy,8,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,8,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,table_catalog,1,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,1,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,table_schema,2,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,table_name,3,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,3,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,table_type,4,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,4,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,self_referencing_column_name,5,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,5,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,reference_generation,6,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,6,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,user_defined_type_catalog,7,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,7,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,user_defined_type_schema,8,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,8,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,user_defined_type_name,9,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,sql_identifier,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,9,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,is_insertable_into,10,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,10,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,is_typed,11,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,11,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
dvdrental,information_schema,tables,commit_action,12,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,12,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,NO
